uid,block,policy,event,offset_ms,tol_ms,hits,cuts,refs,den,twice_hits
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,asr_3408,rise,0.0,20.0,6,28,14,42,12
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,asr_3408,rise,0.0,40.0,9,28,14,42,18
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,asr_3408,rise,12.5,20.0,8,28,14,42,16
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,asr_3408,rise,12.5,40.0,12,28,14,42,24
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,asr_3408,fall,0.0,20.0,5,28,14,42,10
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,asr_3408,fall,0.0,40.0,7,28,14,42,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,asr_3408,fall,12.5,20.0,6,28,14,42,12
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,asr_3408,fall,12.5,40.0,9,28,14,42,18
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,asr_3408,peak,0.0,20.0,4,28,9,37,8
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,asr_3408,peak,0.0,40.0,8,28,9,37,16
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,asr_3408,peak,12.5,20.0,6,28,9,37,12
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,asr_3408,peak,12.5,40.0,8,28,9,37,16
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,asr_3408,valley,0.0,20.0,3,28,8,36,6
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,asr_3408,valley,0.0,40.0,3,28,8,36,6
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,asr_3408,valley,12.5,20.0,3,28,8,36,6
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,asr_3408,valley,12.5,40.0,4,28,8,36,8
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,rise,0.0,20.0,5,15,14,29,10
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,rise,0.0,40.0,6,15,14,29,12
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,rise,12.5,20.0,5,15,14,29,10
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,rise,12.5,40.0,8,15,14,29,16
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,fall,0.0,20.0,4,15,14,29,8
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,fall,0.0,40.0,5,15,14,29,10
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,fall,12.5,20.0,4,15,14,29,8
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,fall,12.5,40.0,6,15,14,29,12
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,peak,0.0,20.0,3,15,9,24,6
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,peak,0.0,40.0,5,15,9,24,10
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,peak,12.5,20.0,5,15,9,24,10
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,peak,12.5,40.0,6,15,9,24,12
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,valley,0.0,20.0,2,15,8,23,4
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,valley,0.0,40.0,3,15,8,23,6
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,valley,12.5,20.0,3,15,8,23,6
