uid,block,source_uid,policy,condition,comparison,tol_ms,f1,boundary_retention,token_ratio,token_delta,hz
ex01_default_00028__original,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,asr_3408,original,original,20.0,1.0,1.0,1.0,0,11.114327062228655
ex01_default_00028__original,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,asr_3408,original,original,40.0,1.0,1.0,1.0,0,11.114327062228655
ex01_default_00028__original,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,emotion_3407,original,original,20.0,1.0,1.0,1.0,0,6.946454413892909
ex01_default_00028__original,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,emotion_3407,original,original,40.0,1.0,1.0,1.0,0,6.946454413892909
ex01_default_00028__original,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,emotion_3408,original,original,20.0,1.0,1.0,1.0,0,5.557163531114328
ex01_default_00028__original,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,emotion_3408,original,original,40.0,1.0,1.0,1.0,0,5.557163531114328
ex01_default_00028__original,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,emotion_3409,original,original,20.0,1.0,1.0,1.0,0,5.094066570188134
ex01_default_00028__original,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,emotion_3409,original,original,40.0,1.0,1.0,1.0,0,5.094066570188134
ex01_default_00028__original,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,intent_3408_last,original,original,20.0,1.0,1.0,1.0,0,7.409551374819103
ex01_default_00028__original,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,intent_3408_last,original,original,40.0,1.0,1.0,1.0,0,7.409551374819103
ex01_default_00028__original,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,speaker_count_3408_last,original,original,20.0,1.0,1.0,1.0,0,3.7047756874095517
ex01_default_00028__original,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,speaker_count_3408_last,original,original,40.0,1.0,1.0,1.0,0,3.7047756874095517
ex01_default_00028__sham,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,asr_3408,sham,original,20.0,1.0,1.0,1.0,0,11.114327062228655
ex01_default_00028__sham,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,asr_3408,sham,original,40.0,1.0,1.0,1.0,0,11.114327062228655
ex01_default_00028__sham,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,emotion_3407,sham,original,20.0,1.0,1.0,1.0,0,6.946454413892909
ex01_default_00028__sham,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,emotion_3407,sham,original,40.0,1.0,1.0,1.0,0,6.946454413892909
ex01_default_00028__sham,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,emotion_3408,sham,original,20.0,0.9523809523809523,0.9090909090909091,0.9166666666666666,-1,5.094066570188134
ex01_default_00028__sham,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,emotion_3408,sham,original,40.0,0.9523809523809523,0.9090909090909091,0.9166666666666666,-1,5.094066570188134
ex01_default_00028__sham,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,emotion_3409,sham,original,20.0,0.9,0.9,1.0,0,5.094066570188134
ex01_default_00028__sham,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,emotion_3409,sham,original,40.0,0.9,0.9,1.0,0,5.094066570188134
ex01_default_00028__sham,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,intent_3408_last,sham,original,20.0,0.967741935483871,1.0,1.0625,1,7.872648335745297
ex01_default_00028__sham,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,intent_3408_last,sham,original,40.0,0.967741935483871,1.0,1.0625,1,7.872648335745297
ex01_default_00028__sham,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,speaker_count_3408_last,sham,original,20.0,1.0,1.0,1.0,0,3.7047756874095517
ex01_default_00028__sham,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,speaker_count_3408_last,sham,original,40.0,1.0,1.0,1.0,0,3.7047756874095517
ex01_default_00028__pitch_down3,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,asr_3408,pitch_down3,sham,20.0,1.0,1.0,1.0,0,11.114327062228655
ex01_default_00028__pitch_down3,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,asr_3408,pitch_down3,sham,40.0,1.0,1.0,1.0,0,11.114327062228655
ex01_default_00028__pitch_down3,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,emotion_3407,pitch_down3,sham,20.0,1.0,1.0,1.0,0,6.946454413892909
ex01_default_00028__pitch_down3,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,emotion_3407,pitch_down3,sham,40.0,1.0,1.0,1.0,0,6.946454413892909
ex01_default_00028__pitch_down3,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,emotion_3408,pitch_down3,sham,20.0,0.8421052631578947,0.8,0.9090909090909091,-1,4.63096960926194
ex01_default_00028__pitch_down3,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,emotion_3408,pitch_down3,sham,40.0,0.8421052631578947,0.8,0.9090909090909091,-1,4.63096960926194
ex01_default_00028__pitch_down3,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,emotion_3409,pitch_down3,sham,20.0,0.9523809523809523,1.0,1.0909090909090908,1,5.557163531114328
ex01_default_00028__pitch_down3,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,emotion_3409,pitch_down3,sham,40.0,0.9523809523809523,1.0,1.0909090909090908,1,5.557163531114328
ex01_default_00028__pitch_down3,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,intent_3408_last,pitch_down3,sham,20.0,0.9696969696969697,1.0,1.0588235294117647,1,8.335745296671492
ex01_default_00028__pitch_down3,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,intent_3408_last,pitch_down3,sham,40.0,0.9696969696969697,1.0,1.0588235294117647,1,8.335745296671492
ex01_default_00028__pitch_down3,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,speaker_count_3408_last,pitch_down3,sham,20.0,1.0,1.0,1.0,0,3.7047756874095517
ex01_default_00028__pitch_down3,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,speaker_count_3408_last,pitch_down3,sham,40.0,1.0,1.0,1.0,0,3.7047756874095517
ex01_default_00028__pitch_up3,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,asr_3408,pitch_up3,sham,20.0,1.0,1.0,1.0,0,11.114327062228655
ex01_default_00028__pitch_up3,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,asr_3408,pitch_up3,sham,40.0,1.0,1.0,1.0,0,11.114327062228655
ex01_default_00028__pitch_up3,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,emotion_3407,pitch_up3,sham,20.0,1.0,1.0,1.0,0,6.946454413892909
ex01_default_00028__pitch_up3,ex01::HE WROTE GULLIVER'S TRAVEL,ex01_default_00028,emotion_3407,pitch_up3,sham,40.0,1.0,1.0,1.0,0,6.946454413892909
