uid,block,style,count_anchors,emotion_anchors,intent_anchors,parent_anchors,count_in_emotion,count_not_emotion,count_in_intent,emotion_in_intent,random_expected_count_in_emotion,random_expected_emotion_in_intent,count_is_sparser
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,confused,7,14,23,28,4,3,7,14,3.5,11.5,True
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,confused,9,17,25,33,7,2,8,16,4.636363636363637,12.878787878787879,True
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,confused,7,12,14,20,6,1,7,12,4.2,8.4,True
ex01_confused_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,confused,7,10,18,27,6,1,7,9,2.5925925925925926,6.666666666666667,True
ex01_confused_00168,ex01::YOU KNOW WHAT,confused,2,3,5,10,2,0,2,3,0.6,1.5,True
ex01_confused_00255,ex01::MARIAN,confused,4,3,8,11,2,2,2,3,1.0909090909090908,2.1818181818181817,False
ex01_confused_00264,ex01::FOR THE FRESH FACE CONTEST,confused,6,11,14,22,6,0,6,8,3.0,7.0,True
ex01_confused_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,confused,11,20,29,47,10,1,11,18,4.680851063829787,12.340425531914894,True
ex01_confused_00284,ex01::WHERE'D MY POPS GO,confused,5,6,10,16,5,0,5,5,1.875,3.75,True
ex01_confused_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,confused,9,17,25,36,6,3,8,16,4.25,11.805555555555555,True
ex01_confused_00301,ex01::OKAY IS THAT IS THAT GLOVER,confused,7,11,20,30,3,4,6,9,2.566666666666667,7.333333333333333,True
ex01_confused_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,confused,15,34,47,62,15,0,15,31,8.225806451612904,25.774193548387096,True
ex01_confused_00328,ex01::ANTI AGING CREAMS CAN BRING ON BREAKOUTS,confused,9,20,32,41,8,1,9,18,4.390243902439025,15.609756097560975,True
ex01_confused_00333,ex01::WHAT ARE YOU NO GOOD AT,confused,4,5,10,15,3,1,4,5,1.3333333333333333,3.3333333333333335,False
ex01_confused_00370,ex01::AT LEAST I DO,confused,3,5,8,13,3,0,3,4,1.1538461538461537,3.076923076923077,True
ex01_default_00028,ex01::HE WROTE GULLIVER'S TRAVEL,default,7,11,15,23,7,0,6,10,3.347826086956522,7.173913043478261,True
ex01_default_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,default,7,13,20,25,6,1,7,13,3.64,10.4,True
ex01_default_00156,ex01::WHAT DID THE DEVIL DO NOW,default,6,11,13,19,5,1,6,10,3.473684210526316,7.526315789473684,True
ex01_default_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,default,6,13,18,25,6,0,6,10,3.12,9.36,True
ex01_default_00168,ex01::YOU KNOW WHAT,default,3,2,5,10,2,1,3,2,0.6,1.0,False
ex01_default_00255,ex01::MARIAN,default,1,1,5,7,1,0,1,1,0.14285714285714285,0.7142857142857143,True
ex01_default_00264,ex01::FOR THE FRESH FACE CONTEST,default,5,13,14,20,5,0,5,12,3.25,9.1,True
ex01_default_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,default,9,23,28,45,8,1,9,21,4.6,14.311111111111112,True
ex01_default_00284,ex01::WHERE'D MY POPS GO,default,4,6,10,14,4,0,4,6,1.7142857142857142,4.285714285714286,True
ex01_default_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,default,9,15,21,33,8,1,9,15,4.090909090909091,9.545454545454545,True
ex01_default_00301,ex01::OKAY IS THAT IS THAT GLOVER,default,8,9,15,23,5,3,6,8,3.130434782608696,5.869565217391305,True
ex01_default_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,default,15,26,37,57,12,3,14,20,6.842105263157895,16.87719298245614,True
ex01_default_00328,ex01::ANTI AGING CREAMS CAN BRING ON BREAKOUTS,default,10,15,23,33,9,1,8,12,4.545454545454546,10.454545454545455,True
ex01_default_00333,ex01::WHAT ARE YOU NO GOOD AT,default,3,6,11,16,3,0,3,6,1.125,4.125,True
ex01_default_00370,ex01::AT LEAST I DO,default,3,6,9,12,3,0,3,6,1.5,4.5,True
ex01_enunciated_00028,ex01::HE WROTE GULLIVER'S TRAVEL,enunciated,7,17,20,28,6,1,6,16,4.25,12.142857142857142,True
ex01_enunciated_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,enunciated,9,18,27,31,8,1,7,16,5.225806451612903,15.67741935483871,True
ex01_enunciated_00156,ex01::WHAT DID THE DEVIL DO NOW,enunciated,5,14,19,23,4,1,5,13,3.0434782608695654,11.565217391304348,True
ex01_enunciated_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,enunciated,7,15,26,34,6,1,6,12,3.088235294117647,11.470588235294118,True
ex01_enunciated_00168,ex01::YOU KNOW WHAT,enunciated,3,5,8,10,2,1,3,5,1.5,4.0,True
ex01_enunciated_00255,ex01::MARIAN,enunciated,1,3,7,8,1,0,1,3,0.375,2.625,True
ex01_enunciated_00264,ex01::FOR THE FRESH FACE CONTEST,enunciated,6,13,20,29,6,0,6,12,2.689655172413793,8.96551724137931,True
ex01_enunciated_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,enunciated,11,31,41,57,8,3,10,28,5.982456140350878,22.29824561403509,True
ex01_enunciated_00284,ex01::WHERE'D MY POPS GO,enunciated,5,8,14,18,4,1,5,8,2.2222222222222223,6.222222222222222,True
ex01_enunciated_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,enunciated,12,26,34,48,10,2,12,22,6.5,18.416666666666668,True
ex01_enunciated_00301,ex01::OKAY IS THAT IS THAT GLOVER,enunciated,8,10,21,31,5,3,7,9,2.5806451612903225,6.774193548387097,True
ex01_enunciated_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,enunciated,17,39,49,68,16,1,17,32,9.75,28.102941176470587,True
ex01_enunciated_00328,ex01::ANTI AGING CREAMS CAN BRING ON BREAKOUTS,enunciated,9,19,33,45,7,2,8,16,3.8,13.933333333333334,True
ex01_enunciated_00333,ex01::WHAT ARE YOU NO GOOD AT,enunciated,3,8,18,24,3,0,3,7,1.0,6.0,True
ex01_enunciated_00370,ex01::AT LEAST I DO,enunciated,5,6,12,15,4,1,5,6,2.0,4.8,True
ex01_happy_00028,ex01::HE WROTE GULLIVER'S TRAVEL,happy,6,12,17,24,6,0,6,8,3.0,8.5,True
ex01_happy_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,happy,7,17,26,31,7,0,7,15,3.838709677419355,14.258064516129032,True
ex01_happy_00156,ex01::WHAT DID THE DEVIL DO NOW,happy,6,12,15,24,5,1,6,11,3.0,7.5,True
ex01_happy_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,happy,7,13,19,29,6,1,6,11,3.1379310344827585,8.517241379310345,True
ex01_happy_00168,ex01::YOU KNOW WHAT,happy,3,3,5,10,3,0,2,2,0.9,1.5,True
ex01_happy_00255,ex01::MARIAN,happy,0,1,6,7,0,0,0,1,0.0,0.8571428571428571,True
ex01_happy_00264,ex01::FOR THE FRESH FACE CONTEST,happy,6,10,13,22,6,0,6,9,2.727272727272727,5.909090909090909,True
ex01_happy_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,happy,9,25,30,45,9,0,9,23,5.0,16.666666666666668,True
ex01_happy_00284,ex01::WHERE'D MY POPS GO,happy,3,6,9,14,3,0,3,5,1.2857142857142858,3.857142857142857,True
ex01_happy_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,happy,10,15,23,35,7,3,10,14,4.285714285714286,9.857142857142858,True
ex01_happy_00301,ex01::OKAY IS THAT IS THAT GLOVER,happy,5,8,15,24,4,1,4,7,1.6666666666666667,5.0,True
ex01_happy_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,happy,16,26,34,51,15,1,15,22,8.156862745098039,17.333333333333332,True
ex01_happy_00328,ex01::ANTI AGING CREAMS CAN BRING ON BREAKOUTS,happy,10,16,25,32,7,3,9,15,5.0,12.5,True
ex01_happy_00333,ex01::WHAT ARE YOU NO GOOD AT,happy,4,6,13,17,3,1,3,6,1.411764705882353,4.588235294117647,True
ex01_happy_00370,ex01::AT LEAST I DO,happy,2,4,6,11,2,0,2,4,0.7272727272727273,2.1818181818181817,True
ex01_laughing_00028,ex01::HE WROTE GULLIVER'S TRAVEL,laughing,7,17,19,30,6,1,5,12,3.966666666666667,10.766666666666667,True
ex01_laughing_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,laughing,7,16,25,31,6,1,6,15,3.6129032258064515,12.903225806451612,True
ex01_laughing_00156,ex01::WHAT DID THE DEVIL DO NOW,laughing,6,11,15,21,6,0,6,11,3.142857142857143,7.857142857142857,True
ex01_laughing_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,laughing,7,9,18,31,5,2,6,7,2.032258064516129,5.225806451612903,True
ex01_laughing_00168,ex01::YOU KNOW WHAT,laughing,3,2,8,14,1,2,3,1,0.42857142857142855,1.1428571428571428,True
ex01_laughing_00255,ex01::MARIAN,laughing,2,3,7,10,1,1,1,3,0.6,2.1,True
ex01_laughing_00264,ex01::FOR THE FRESH FACE CONTEST,laughing,5,12,15,25,5,0,5,8,2.4,7.2,True
ex01_laughing_00279,ex01::AND DEPRIVE MYSELF OF THE PLEASURE OF WATCHING YOU SQUIRM,laughing,14,18,35,56,10,4,13,15,4.5,11.25,True
ex01_laughing_00284,ex01::WHERE'D MY POPS GO,laughing,5,7,11,18,5,0,5,7,1.9444444444444444,4.277777777777778,True
ex01_laughing_00299,ex01::ARE ANNA FARIS AND CHRIS PRATT SEPARATING,laughing,10,17,26,42,7,3,9,16,4.0476190476190474,10.523809523809524,True
ex01_laughing_00301,ex01::OKAY IS THAT IS THAT GLOVER,laughing,5,9,15,29,3,2,4,7,1.5517241379310345,4.655172413793103,True
ex01_laughing_00319,ex01::THEN THERE'S MIRACLE OF THIRTY FOURTH STREET BUT ONLY WATCH THE ORIGINAL,laughing,16,37,46,66,13,3,15,32,8.969696969696969,25.78787878787879,True
ex01_laughing_00328,ex01::ANTI AGING CREAMS CAN BRING ON BREAKOUTS,laughing,8,17,25,37,7,1,8,15,3.675675675675676,11.486486486486486,True
ex01_laughing_00333,ex01::WHAT ARE YOU NO GOOD AT,laughing,3,5,10,20,3,0,3,5,0.75,2.5,True
ex01_laughing_00370,ex01::AT LEAST I DO,laughing,4,6,10,16,4,0,4,6,1.5,3.75,True
ex01_sad_00028,ex01::HE WROTE GULLIVER'S TRAVEL,sad,7,9,14,22,4,3,7,8,2.8636363636363638,5.7272727272727275,True
