uid,block,a,b,tol_ms,hits,den,twice_hits,a_n,b_n,b_covered
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,asr_3408,emotion_3408,0,9,43,18,28,15,9
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,asr_3408,emotion_3408,20,14,43,28,28,15,14
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,asr_3408,emotion_3408,40,15,43,30,28,15,15
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,asr_3408,intent_3408_last,0,17,51,34,28,23,17
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,asr_3408,intent_3408_last,20,23,51,46,28,23,23
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,asr_3408,intent_3408_last,40,23,51,46,28,23,23
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,asr_3408,speaker_count_3408_last,0,3,37,6,28,9,3
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,asr_3408,speaker_count_3408_last,20,7,37,14,28,9,7
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,asr_3408,speaker_count_3408_last,40,9,37,18,28,9,9
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,intent_3408_last,0,8,38,16,15,23,8
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,intent_3408_last,20,14,38,28,15,23,16
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,intent_3408_last,40,15,38,30,15,23,17
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,speaker_count_3408_last,0,2,24,4,15,9,2
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,speaker_count_3408_last,20,4,24,8,15,9,4
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,emotion_3408,speaker_count_3408_last,40,6,24,12,15,9,6
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,speaker_count_3408_last,0,5,32,10,23,9,5
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,speaker_count_3408_last,20,7,32,14,23,9,7
ex01_confused_00028,ex01::HE WROTE GULLIVER'S TRAVEL,intent_3408_last,speaker_count_3408_last,40,9,32,18,23,9,9
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,asr_3408,emotion_3408,0,9,51,18,33,18,9
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,asr_3408,emotion_3408,20,17,51,34,33,18,17
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,asr_3408,emotion_3408,40,18,51,36,33,18,18
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,asr_3408,intent_3408_last,0,19,59,38,33,26,19
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,asr_3408,intent_3408_last,20,25,59,50,33,26,25
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,asr_3408,intent_3408_last,40,25,59,50,33,26,25
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,asr_3408,speaker_count_3408_last,0,4,44,8,33,11,4
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,asr_3408,speaker_count_3408_last,20,9,44,18,33,11,10
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,asr_3408,speaker_count_3408_last,40,9,44,18,33,11,10
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,intent_3408_last,0,8,44,16,18,26,8
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,intent_3408_last,20,16,44,32,18,26,17
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,intent_3408_last,40,17,44,34,18,26,20
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,speaker_count_3408_last,0,4,29,8,18,11,4
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,speaker_count_3408_last,20,7,29,14,18,11,7
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,emotion_3408,speaker_count_3408_last,40,8,29,16,18,11,8
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,speaker_count_3408_last,0,6,37,12,26,11,6
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,speaker_count_3408_last,20,8,37,16,26,11,8
ex01_confused_00146,ex01::LYNN'S WORKING ON SAGE'S LYRICS,intent_3408_last,speaker_count_3408_last,40,9,37,18,26,11,9
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,asr_3408,emotion_3408,0,8,33,16,20,13,8
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,asr_3408,emotion_3408,20,12,33,24,20,13,12
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,asr_3408,emotion_3408,40,13,33,26,20,13,13
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,asr_3408,intent_3408_last,0,10,35,20,20,15,10
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,asr_3408,intent_3408_last,20,14,35,28,20,15,15
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,asr_3408,intent_3408_last,40,15,35,30,20,15,15
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,asr_3408,speaker_count_3408_last,0,3,28,6,20,8,3
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,asr_3408,speaker_count_3408_last,20,7,28,14,20,8,7
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,asr_3408,speaker_count_3408_last,40,7,28,14,20,8,7
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,emotion_3408,intent_3408_last,0,11,28,22,13,15,11
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,emotion_3408,intent_3408_last,20,13,28,26,13,15,13
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,emotion_3408,intent_3408_last,40,13,28,26,13,15,13
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,emotion_3408,speaker_count_3408_last,0,4,21,8,13,8,4
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,emotion_3408,speaker_count_3408_last,20,6,21,12,13,8,6
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,emotion_3408,speaker_count_3408_last,40,6,21,12,13,8,6
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,intent_3408_last,speaker_count_3408_last,0,4,23,8,15,8,4
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,intent_3408_last,speaker_count_3408_last,20,7,23,14,15,8,7
ex01_confused_00156,ex01::WHAT DID THE DEVIL DO NOW,intent_3408_last,speaker_count_3408_last,40,7,23,14,15,8,7
ex01_confused_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,asr_3408,emotion_3408,0,7,37,14,27,10,7
ex01_confused_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,asr_3408,emotion_3408,20,10,37,20,27,10,10
ex01_confused_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,asr_3408,emotion_3408,40,10,37,20,27,10,10
ex01_confused_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,asr_3408,intent_3408_last,0,14,45,28,27,18,14
ex01_confused_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,asr_3408,intent_3408_last,20,18,45,36,27,18,18
ex01_confused_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,asr_3408,intent_3408_last,40,18,45,36,27,18,18
ex01_confused_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,asr_3408,speaker_count_3408_last,0,2,34,4,27,7,2
ex01_confused_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,asr_3408,speaker_count_3408_last,20,7,34,14,27,7,7
ex01_confused_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,asr_3408,speaker_count_3408_last,40,7,34,14,27,7,7
ex01_confused_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,emotion_3408,intent_3408_last,0,5,28,10,10,18,5
ex01_confused_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,emotion_3408,intent_3408_last,20,9,28,18,10,18,10
ex01_confused_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,emotion_3408,intent_3408_last,40,10,28,20,10,18,12
ex01_confused_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,emotion_3408,speaker_count_3408_last,0,2,17,4,10,7,2
ex01_confused_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,emotion_3408,speaker_count_3408_last,20,6,17,12,10,7,6
ex01_confused_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,emotion_3408,speaker_count_3408_last,40,7,17,14,10,7,7
ex01_confused_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,intent_3408_last,speaker_count_3408_last,0,3,25,6,18,7,3
ex01_confused_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,intent_3408_last,speaker_count_3408_last,20,7,25,14,18,7,7
ex01_confused_00163,ex01::OUT OF NOWHERE YOU GET BLINDSIDED,intent_3408_last,speaker_count_3408_last,40,7,25,14,18,7,7
ex01_confused_00168,ex01::YOU KNOW WHAT,asr_3408,emotion_3408,0,3,13,6,10,3,3
ex01_confused_00168,ex01::YOU KNOW WHAT,asr_3408,emotion_3408,20,3,13,6,10,3,3
ex01_confused_00168,ex01::YOU KNOW WHAT,asr_3408,emotion_3408,40,3,13,6,10,3,3
ex01_confused_00168,ex01::YOU KNOW WHAT,asr_3408,intent_3408_last,0,4,15,8,10,5,4
ex01_confused_00168,ex01::YOU KNOW WHAT,asr_3408,intent_3408_last,20,5,15,10,10,5,5
ex01_confused_00168,ex01::YOU KNOW WHAT,asr_3408,intent_3408_last,40,5,15,10,10,5,5
ex01_confused_00168,ex01::YOU KNOW WHAT,asr_3408,speaker_count_3408_last,0,1,13,2,10,3,1
ex01_confused_00168,ex01::YOU KNOW WHAT,asr_3408,speaker_count_3408_last,20,2,13,4,10,3,2
ex01_confused_00168,ex01::YOU KNOW WHAT,asr_3408,speaker_count_3408_last,40,3,13,6,10,3,3
ex01_confused_00168,ex01::YOU KNOW WHAT,emotion_3408,intent_3408_last,0,3,8,6,3,5,3
ex01_confused_00168,ex01::YOU KNOW WHAT,emotion_3408,intent_3408_last,20,3,8,6,3,5,3
ex01_confused_00168,ex01::YOU KNOW WHAT,emotion_3408,intent_3408_last,40,3,8,6,3,5,3
ex01_confused_00168,ex01::YOU KNOW WHAT,emotion_3408,speaker_count_3408_last,0,1,6,2,3,3,1
ex01_confused_00168,ex01::YOU KNOW WHAT,emotion_3408,speaker_count_3408_last,20,2,6,4,3,3,2
ex01_confused_00168,ex01::YOU KNOW WHAT,emotion_3408,speaker_count_3408_last,40,2,6,4,3,3,2
ex01_confused_00168,ex01::YOU KNOW WHAT,intent_3408_last,speaker_count_3408_last,0,1,8,2,5,3,1
ex01_confused_00168,ex01::YOU KNOW WHAT,intent_3408_last,speaker_count_3408_last,20,2,8,4,5,3,2
ex01_confused_00168,ex01::YOU KNOW WHAT,intent_3408_last,speaker_count_3408_last,40,2,8,4,5,3,2
ex01_confused_00255,ex01::MARIAN,asr_3408,emotion_3408,0,1,14,2,11,3,1
ex01_confused_00255,ex01::MARIAN,asr_3408,emotion_3408,20,3,14,6,11,3,3
ex01_confused_00255,ex01::MARIAN,asr_3408,emotion_3408,40,3,14,6,11,3,3
ex01_confused_00255,ex01::MARIAN,asr_3408,intent_3408_last,0,5,19,10,11,8,5
ex01_confused_00255,ex01::MARIAN,asr_3408,intent_3408_last,20,8,19,16,11,8,8
ex01_confused_00255,ex01::MARIAN,asr_3408,intent_3408_last,40,8,19,16,11,8,8
ex01_confused_00255,ex01::MARIAN,asr_3408,speaker_count_3408_last,0,3,16,6,11,5,3
ex01_confused_00255,ex01::MARIAN,asr_3408,speaker_count_3408_last,20,4,16,8,11,5,4
ex01_confused_00255,ex01::MARIAN,asr_3408,speaker_count_3408_last,40,5,16,10,11,5,5
ex01_confused_00255,ex01::MARIAN,emotion_3408,intent_3408_last,0,2,11,4,3,8,2
ex01_confused_00255,ex01::MARIAN,emotion_3408,intent_3408_last,20,3,11,6,3,8,3
ex01_confused_00255,ex01::MARIAN,emotion_3408,intent_3408_last,40,3,11,6,3,8,3
ex01_confused_00255,ex01::MARIAN,emotion_3408,speaker_count_3408_last,0,1,8,2,3,5,1
ex01_confused_00255,ex01::MARIAN,emotion_3408,speaker_count_3408_last,20,3,8,6,3,5,3
ex01_confused_00255,ex01::MARIAN,emotion_3408,speaker_count_3408_last,40,3,8,6,3,5,3
